D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_487.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_487.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_487.jpg,0,0.3934473,0,0.3451115
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_556.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_556.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_556.jpg,-0.1,0.6339507,0,0.77017
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_623.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_623.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_623.jpg,-0.25,0.8033658,0,1.273552
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_694.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_694.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_694.jpg,-0.45,1,0,2.161634
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_764.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_764.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_764.jpg,-0.6000001,1,0,2.82443
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_834.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_834.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_834.jpg,-0.8000001,1,0,3.721555
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_901.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_901.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_901.jpg,-0.9500002,1,0,4.380235
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_17_970.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_17_970.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_17_970.jpg,0,1,0,5.190752
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_18_039.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_18_039.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_18_039.jpg,0,1,0,5.875931
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_18_108.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_18_108.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_18_108.jpg,0,1,0,6.794309
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_18_177.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_18_177.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_18_177.jpg,0,1,0,7.478806
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_18_247.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_18_247.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_18_247.jpg,-0.2,1,0,8.375904
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_18_316.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_18_316.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_18_316.jpg,-0.35,1,0,9.027754
D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\center_2021_06_15_01_47_18_386.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\left_2021_06_15_01_47_18_386.jpg,D:\Github\Autonomous-Car-CNN-Model\beta_simulator_windows\IMG\right_2021_06_15_01_47_18_386.jpg,0,1,0,9.688325
